Taxonomy ,industry,usecases,xdlink,prototypelink,,,,,,,
4.I,B2B - Manufacturing,Quote & Finance ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FB2B%20Manufacturing%2FB2B%20Manufacturing%20%2D%20Quote%20and%20Finance%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FB2B%20Manufacturing,https://xd.adobe.com/view/e90826a8-a527-4166-9643-21ea885a7ab0-bc5b/?fullscreen,,,,,,,
5.B,FSI - Asset Management B2B,Targeted Ad,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20AM%20B2B%2FFSI%20AM%20B2B%20%2D%20Targeted%20Ad%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20AM%20B2B,https://xd.adobe.com/view/3f24dc98-80f2-451e-b77e-e2d6d627ee99-6a77/?fullscreen,,,,,,,
5.P,FSI - Asset Management B2B,Prospect Segment,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20AM%20B2B%2FFSI%20AM%20B2B%20%2D%20Prospect%20Segment%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20AM%20B2B,https://xd.adobe.com/view/5812f627-c673-4b30-bf41-4610e4345557-0d41/?fullscreen,,,,,,,
5.O,FSI - Asset Management B2B,Personalized Content,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20AM%20B2B%2FFSI%20AM%20B2B%20%2D%20Personalized%20Content%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20AM%20B2B,https://xd.adobe.com/view/e55644b3-deda-4f1a-93b8-d83393e41346-b005/?fullscreen,,,,,,,
5.D,FSI - Asset Management B2B,Call Center,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20AM%20B2B%2FFSI%20AM%20B2B%20%2D%20Call%20Center%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20AM%20B2B,https://xd.adobe.com/view/a9950166-8a9b-481c-8e70-3ba0a59e6ad1-fcc6/?fullscreen,,,,,,,
5.N,FSI - Asset Management B2B,Campaign Optimization and Performance ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20AM%20B2B%2FFSI%20AM%20B2B%20%2D%20Campaign%20Optimization%20and%20Performance%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20AM%20B2B,https://xd.adobe.com/view/9f4be14a-81e9-4026-a7b1-e828e4f75a71-ca18/?fullscreen,,,,,,,
5.G,FSI - Asset Management B2B,E-Sign Documentation ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20AM%20B2B%2FFSI%20AM%20B2B%20%2D%20E%2DSign%20Documentation%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20AM%20B2B,https://xd.adobe.com/view/f80c5ab8-e786-41bd-bdce-951f1e1e3575-ad5f/?fullscreen,,,,,,,
5.H,FSI - Asset Management B2B,Reminder Email,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20AM%20B2B%2FFSI%20AM%20B2B%20%2D%20Reminder%20Email%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FFSI%20AM%20B2B,https://xd.adobe.com/view/b8f6069e-d126-49e0-9706-07be0880d419-eda5/?fullscreen,,,,,,,
6.B,M&E - Telco,Targeted Ad,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FTelco%2FTelco%20%2D%20Targeted%20Ad%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FTelco,https://xd.adobe.com/view/8d0870ee-f649-4f9e-80c6-c55be77c9f5b-d85b/?fullscreen,,,,,,,
6.O,M&E - Telco,Personalized Content,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FTelco%2FTelco%20%2D%20Personalized%20Content%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FTelco,https://xd.adobe.com/view/c5e6bc7b-ca63-4b51-a1aa-b848c0a2e0dd-90b5/?fullscreen,,,,,,,
